siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
880786413,00026,88078641300026,O,2020-06-15,,,,2020-11-06T04:08:23,false,A,O,,2020-01-21,5499,BIOMANI,,,,,,,,,,,,,,47.11C,NAFRev2,,N,O,,,00018,2020-11-06T04:08:23,,,,605,,AV,DE LA GARE,38530,PONTCHARRA,,,38314,,,,,,,,,,,,,,,,,,,A,BIOCOOP BREDA,,,BIOCOOP BREDA,47.11C,NAFRev2,O
881258677,00023,88125867700023,O,2020-06-24,,,,2021-02-23T18:14:41,true,A,O,,2020-02-04,5710,DU BIELOIS,,,,,,,,,,,,,,47.11D,NAFRev2,,N,O,,,00023,2020-10-09T03:44:26,,,,3725,,RTE,DE SAINT OBLAS,38780,OYTIER-SAINT-OBLAS,,,38288,,,,,,,,,,,,,,,,,,,A,,,,,47.11D,NAFRev2,O
881481493,00016,88148149300016,O,2020-01-30,,,,2021-03-27T03:48:07,true,A,O,,2020-01-30,5499,J2M CHONAS,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00016,2021-03-27T03:48:07,,,BATIMENT D - ZONE ARTISANALE GRAND CHA,,,RTE,NATIONALE 7,38121,CHONAS L'AMBALLAN,,,38107,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
881555718,00017,88155571800017,O,2020-02-01,,,,2020-06-19T04:06:49,true,A,O,,2020-02-01,5710,L'ART DU FRUIT,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00017,2020-07-09T12:05:04,,,,240,,AV,AMBROISE CROIZAT,38400,SAINT MARTIN D'HERES,,,38421,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
881777072,00029,88177707200029,O,2020-03-06,,,,2020-09-25T03:55:11,false,A,O,,2020-02-20,5710,FABIENNE MONSEC,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00011,2020-10-07T04:14:30,,,,38,,RUE,DE LA BARONNIERE,38550,CHEYSSIEU,,,38101,,,,,,,,,,,,,,,,,,,A,EPICERIE-BAR CHEZFABY,,,EPICERIE-BAR CHEZFABY,47.11B,NAFRev2,O
881814222,00017,88181422200017,O,2020-02-13,,,,2020-02-27T03:48:55,true,A,O,,2020-02-13,5499,MON EPI'VRAC MAIS PAS QUE...,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00017,2020-02-27T03:48:55,,,,7,,PL,PASTEUR,38350,LA MURE,,,38269,,,,,,,,,,,,,,,,,,,A,MON EPI'VRAC MAIS PAS QUE...,,,,47.11B,NAFRev2,N
881816425,00014,88181642500014,O,2020-02-05,,,,2020-02-26T03:40:20,true,A,O,,2020-02-05,5499,MK SHOP,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00014,2020-07-09T12:05:19,,,,2,,RUE,ROSE SAGE,38500,VOIRON,,,38563,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
881981419,00016,88198141900016,O,2020-05-25,,,,2020-04-27T16:36:23,true,A,O,,2020-05-25,5499,LE COMPTOIR DU VRAC,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00016,2020-07-09T12:05:28,,,,6,,RUE,JEANNE D ARC,38440,SAINT-JEAN-DE-BOURNAY,,,38399,,,,,,,,,,,,,,,,,,,A,LE COMPTOIR DU VRAC,,,LE COMPTOIR DU VRAC,47.11B,NAFRev2,N
882137821,00014,88213782100014,O,2020-03-02,,,,2020-03-04T07:16:28,true,A,O,,2020-03-02,1000,,,,,,F,BERTHIER,PEREIRA,MARIETTE,,,,MARIETTE,,47.11B,NAFRev2,,,N,,,00014,2020-03-04T07:16:28,,,,,,RTE,DE LA VALLEE,38940,SAINT-CLAIR-SUR-GALAURE,,,38379,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
882259260,00017,88225926000017,O,2020-03-04,,,,2020-09-10T03:52:07,true,A,O,,2020-03-04,5710,RAMA VINAY,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00017,2020-09-10T03:52:07,,,,15,,,GRANDE RUE,38470,VINAY,,,38559,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
